file_id,rt,responses,trial_type,trial_index,time_elapsed,internal_node_id,view_history,stimulus,button_pressed,speakers,key_press
data_2025-04-10-14-18-41.313132_882rco17ll,3748.2000000476837,"{""Participant ID"":""017""}",survey-text,0,3762,0.0-0.0-0.0-0.0,NA,NA,NA,NA,NA
data_2025-04-10-14-18-41.313132_882rco17ll,2390422.1999999285,NA,instructions,1,2394183,0.0-0.0-1.0,"[{""page_index"":0,""viewing_time"":2390422}]",NA,NA,NA,NA
data_2025-04-10-14-18-41.313132_882rco17ll,23122.900000095367,NA,instructions,2,2417557,0.0-0.0-2.0,"[{""page_index"":0,""viewing_time"":23122.700000047684}]",NA,NA,NA,NA
data_2025-04-10-14-18-41.313132_882rco17ll,3365.8000000715256,NA,instructions,3,2421174,0.0-0.0-3.0,"[{""page_index"":0,""viewing_time"":3365.7000000476837}]",NA,NA,NA,NA
data_2025-04-10-14-18-41.313132_882rco17ll,2465.7999999523163,NA,instructions,4,2423891,0.0-0.0-4.0,"[{""page_index"":0,""viewing_time"":2465.6999999284744}]",NA,NA,NA,NA
data_2025-04-10-14-18-41.313132_882rco17ll,6734.200000047684,NA,instructions,5,2430877,0.0-0.0-5.0,"[{""page_index"":0,""viewing_time"":6734}]",NA,NA,NA,NA
data_2025-04-10-14-18-41.313132_882rco17ll,1965.8000000715256,NA,instructions,6,2433095,0.0-0.0-6.0,"[{""page_index"":0,""viewing_time"":1965.7000000476837}]",NA,NA,NA,NA
data_2025-04-10-14-18-41.313132_882rco17ll,1448.1999999284744,NA,instructions,7,2434795,0.0-0.0-7.0-0.0,"[{""page_index"":0,""viewing_time"":1448.1000000238419}]",NA,NA,NA,NA
data_2025-04-10-14-18-41.313132_882rco17ll,null,NA,audio-button-response,8,2436599,0.0-0.0-7.0-1.0,NA,resource/audio/snake_US.mp3,null,NA,NA
data_2025-04-10-14-18-41.313132_882rco17ll,null,NA,audio-button-response,9,2437794,0.0-0.0-7.0-2.0,NA,resource/audio/snake_TR.mp3,null,NA,NA
data_2025-04-10-14-18-41.313132_882rco17ll,null,NA,audio-button-response,10,2441335,0.0-0.0-7.0-3.0,NA,resource/audio/snake_NZ.mp3,null,NA,NA
data_2025-04-10-14-18-41.313132_882rco17ll,6945,NA,audio-button-response,11,2448533,0.0-0.0-7.0-4.0,NA,resource/audio/blank.mp3,1,"snake_TR.mp3,snake_NZ.mp3",NA
data_2025-04-10-14-18-41.313132_882rco17ll,982.3000000715256,NA,instructions,12,2449766,0.0-0.0-7.0-5.0,"[{""page_index"":0,""viewing_time"":982.2000000476837}]",NA,NA,NA,NA
data_2025-04-10-14-18-41.313132_882rco17ll,null,NA,audio-button-response,13,2451404,0.0-0.0-7.0-6.0,NA,resource/audio/woodpecker_US.mp3,null,NA,NA
data_2025-04-10-14-18-41.313132_882rco17ll,null,NA,audio-button-response,14,2452727,0.0-0.0-7.0-7.0,NA,resource/audio/woodpecker_TR.mp3,null,NA,NA
