file_id,rt,responses,trial_type,trial_index,time_elapsed,internal_node_id,view_history,stimulus,button_pressed,key_press
data_2025-03-27-13-18-57_o2inl6r1wo,4365.39999999851,"{""Participant ID"":""test""}",survey-text,0,4372,0.0-0.0-0.0-0.0,NA,NA,NA,NA
data_2025-03-27-13-18-57_o2inl6r1wo,1211.5,NA,instructions,1,5584,0.0-0.0-1.0,"[{""page_index"":0,""viewing_time"":1211.300000000745}]",NA,NA,NA
data_2025-03-27-13-18-57_o2inl6r1wo,2255.7000000011176,NA,audio-button-response,2,8842,0.0-0.0-2.0-0.0,NA,resource/audio/vocabulary_US.mp3,0,NA
data_2025-03-27-13-18-57_o2inl6r1wo,18772.5,NA,audio-button-response,3,27616,0.0-0.0-2.0-1.0,NA,resource/audio/blank.mp3,0,NA
data_2025-03-27-13-18-57_o2inl6r1wo,2799.5999999996275,NA,audio-button-response,4,30416,0.0-0.0-2.0-2.0,NA,resource/audio/pizza_US.mp3,0,NA
data_2025-03-27-13-18-57_o2inl6r1wo,8497.300000000745,NA,audio-button-response,5,38915,0.0-0.0-2.0-3.0,NA,resource/audio/blank.mp3,1,NA
data_2025-03-27-13-18-57_o2inl6r1wo,2621.699999999255,NA,audio-button-response,6,41537,0.0-0.0-2.0-4.0,NA,resource/audio/caterpillar_US.mp3,0,NA
data_2025-03-27-13-18-57_o2inl6r1wo,7201.0999999996275,NA,audio-button-response,7,48739,0.0-0.0-2.0-5.0,NA,resource/audio/blank.mp3,1,NA
data_2025-03-27-13-18-57_o2inl6r1wo,6467.5999999996275,NA,html-keyboard-response,8,55207,0.0-0.0-3.0,NA,All done! Press the space button before exiting this window!,NA,78
