file_id,rt,responses,trial_type,trial_index,time_elapsed,internal_node_id,view_history
data_2025-03-24-17-19-01_sm8gqze0t7,3877,"{""Participant ID"":""test""}",survey-text,0,3888,0.0-0.0-0.0-0.0,NA
data_2025-03-24-17-19-01_sm8gqze0t7,1023.2000000029802,NA,instructions,1,4911,0.0-0.0-1.0,"[{""page_index"":0,""viewing_time"":1023}]"
