file_id,rt,responses,trial_type,trial_index,time_elapsed,internal_node_id,view_history,stimulus,button_pressed,key_press
data_2025-03-30-16-15-50.111968_94hzzul0e6,3003,"{""Participant ID"":""test""}",survey-text,0,3020,0.0-0.0-0.0-0.0,NA,NA,NA,NA
data_2025-03-30-16-15-50.111968_94hzzul0e6,3367.000000000001,NA,instructions,1,6390,0.0-0.0-1.0,"[{""page_index"":0,""viewing_time"":3367.000000000001}]",NA,NA,NA
data_2025-03-30-16-15-50.111968_94hzzul0e6,1311,NA,audio-button-response,2,8705,0.0-0.0-2.0-0.0,NA,resource/audio/critter_US.mp3,0,NA
data_2025-03-30-16-15-50.111968_94hzzul0e6,4476,NA,audio-button-response,3,13257,0.0-0.0-2.0-1.0,NA,resource/audio/blank.mp3,0,NA
data_2025-03-30-16-15-50.111968_94hzzul0e6,1214,NA,audio-button-response,4,14472,0.0-0.0-2.0-2.0,NA,resource/audio/scrapbook_US.mp3,0,NA
data_2025-03-30-16-15-50.111968_94hzzul0e6,6090,NA,audio-button-response,5,20596,0.0-0.0-2.0-3.0,NA,resource/audio/blank.mp3,1,NA
data_2025-03-30-16-15-50.111968_94hzzul0e6,1238.0000000000036,NA,audio-button-response,6,21836,0.0-0.0-2.0-4.0,NA,resource/audio/zebra_US.mp3,0,NA
data_2025-03-30-16-15-50.111968_94hzzul0e6,2476.0000000000036,NA,audio-button-response,7,24339,0.0-0.0-2.0-5.0,NA,resource/audio/blank.mp3,0,NA
data_2025-03-30-16-15-50.111968_94hzzul0e6,1965,NA,html-keyboard-response,8,26304,0.0-0.0-3.0,NA,All done! Press the space button before exiting this window!,NA,32
