file_id,rt,responses,trial_type,trial_index,time_elapsed,internal_node_id,view_history,stimulus,button_pressed,speakers,key_press
data_2025-04-08-11-35-43.81668_3xp00tvd1p,9235.399999976158,"{""Participant ID"":""004""}",survey-text,0,9328,0.0-0.0-0.0-0.0,NA,NA,NA,NA,NA
data_2025-04-08-11-35-43.81668_3xp00tvd1p,3824910.100000024,NA,instructions,1,3834228,0.0-0.0-1.0,"[{""page_index"":0,""viewing_time"":3824909.9000000358}]",NA,NA,NA,NA
data_2025-04-08-11-35-43.81668_3xp00tvd1p,8016.5,NA,instructions,2,3842496,0.0-0.0-2.0,"[{""page_index"":0,""viewing_time"":8016.300000011921}]",NA,NA,NA,NA
data_2025-04-08-11-35-43.81668_3xp00tvd1p,3249.300000011921,NA,instructions,3,3845997,0.0-0.0-3.0,"[{""page_index"":0,""viewing_time"":3249.100000023842}]",NA,NA,NA,NA
data_2025-04-08-11-35-43.81668_3xp00tvd1p,1164.699999988079,NA,instructions,4,3847414,0.0-0.0-4.0,"[{""page_index"":0,""viewing_time"":1164.5}]",NA,NA,NA,NA
data_2025-04-08-11-35-43.81668_3xp00tvd1p,2733,NA,instructions,5,3850399,0.0-0.0-5.0,"[{""page_index"":0,""viewing_time"":2732.800000011921}]",NA,NA,NA,NA
data_2025-04-08-11-35-43.81668_3xp00tvd1p,1265.3999999761581,NA,instructions,6,3851916,0.0-0.0-6.0,"[{""page_index"":0,""viewing_time"":1265.3999999761581}]",NA,NA,NA,NA
data_2025-04-08-11-35-43.81668_3xp00tvd1p,1399.300000011921,NA,instructions,7,3853567,0.0-0.0-7.0-0.0,"[{""page_index"":0,""viewing_time"":1399.199999988079}]",NA,NA,NA,NA
data_2025-04-08-11-35-43.81668_3xp00tvd1p,null,NA,audio-button-response,8,3855733,0.0-0.0-7.0-1.0,NA,resource/audio/butter_US.mp3,null,NA,NA
data_2025-04-08-11-35-43.81668_3xp00tvd1p,null,NA,audio-button-response,9,3858976,0.0-0.0-7.0-2.0,NA,resource/audio/butter_NZ.mp3,null,NA,NA
data_2025-04-08-11-35-43.81668_3xp00tvd1p,null,NA,audio-button-response,10,3861066,0.0-0.0-7.0-3.0,NA,resource/audio/butter_TR.mp3,null,NA,NA
data_2025-04-08-11-35-43.81668_3xp00tvd1p,4903.100000023842,NA,audio-button-response,11,3866221,0.0-0.0-7.0-4.0,NA,resource/audio/blank.mp3,1,"butter_NZ.mp3,butter_TR.mp3",NA
data_2025-04-08-11-35-43.81668_3xp00tvd1p,1198.7000000476837,NA,instructions,12,3867671,0.0-0.0-7.0-5.0,"[{""page_index"":0,""viewing_time"":1198.6000000238419}]",NA,NA,NA,NA
